"年別","亞洲地區","日本","韓國","香港","中國大陸","澳門","越南","泰國","馬來西亞","新加坡","小計"
"Year","Asia","Japan","Korea","Hong Kong","China","Macao","Vietnam","Thailand","Malaysia","Singapore","Total"
"114","17715833","6730817","1835061","1626176","3237511","567529","1214362","1026976","315455","395658","16949545"
"總計(Total)","17715833","6730817","1835061","1626176","3237511","567529","1214362","1026976","315455","395658","16949545"
